"","Name","Rk","Age","ORG","Highest_LVL","POS","Future_Role","Report","obs","word_count","sd","ave_sentiment"
"1","Kristian Robinson","1","19.2","ARI","A","CF",5.5,"Robinson’s physical composition and athleticism drove club interest and netted him the fourth largest bonus in the 2017 international free agent class. Even as a 17-year-old on Arizona’s backfields, he stood apart physically from rehabbing big leaguers several years his senior, and instantly attracted evaluators’ attention, like the gravitational pull of a very dense star. And star is apt because that’s the kind of projection Robinson’s tools allow for. Big, fast, and prone to generating thunderous contact, he’s more physically alike to young SEC pass catchers than most of the baseball-playing universe. But the background — a giant, Bahamian man-child without the showcase track record of most of his Dominican peers — meant the industry knew even less about how Robinson would handle pro pitching than it did the average J2 prospect. After some initial inconsistencies, Robinson has not only quelled those concerns but also surpassed expectations, and in 2019 he clubbed his way from the Northwest League to full-season ball as an 18-year-old.",1,170,0.249431874311774,0.273280829648178
"2","Daulton Varsho","2","23.6","ARI","AA","C",5,"Varsho presents us, and other evaluators with anticipatory tendencies, with a bit of a conundrum. While we expect that future changes to the way balls and strikes are called (i.e. an electronic strike zones) will make it so below-average receivers like Varsho can catch quite comfortably, it’s also going to raise the offensive bar at the position in a way that alters how we think about catchers generally. Once framing became quantifiable, the average wRC+ at catcher went from about 93 down into the mid-80s. If that skill becomes moot, catcher offense will certainly rise. ",2,98,0.0522656968613768,-0.0463936803225582
"3","Alek Thomas","3","19.8","ARI","A+","CF",5,"All of the left-handed hitters at the 2019 Futures Game had some help from the wind blowing out toward Progressive Field’s right field bleachers, but even with that aid, Thomas’ batting practice in Cleveland was surprising. He was about a year removed from falling to the 2018 draft’s second round in part because his stature didn’t allow for traditional, frame-based power projection, but he’s very strong for his size (Thomas’ dad is the White Sox strength and conditioning coach) and already has average raw at age 19. He’s well-conditioned, but short, built narrowly, and likely to max out with a frame (and skill set) similar to Brett Gardner‘s. ",3,114,0.1603642187643,0.511713516618895
"4","Geraldo Perdomo","4","20.3","ARI","A+","SS",5,"At the lowest levels of the minors, it’s hard to tell if a ball/strike recognition prodigy is real or not because the opposing pitchers are often just incompetent strike-throwers. Perdomo’s 2019 exposure to full-season pitching put to rest concerns that we were previously overrating his diagnostic abilities, as he continued to grind out tough at-bats against sentient pitching, and walk at a 14.5% clip at Low-A Kane County before his August promotion to Hi-A. So confident is Perdomo in his notion of the strike zone that, after taking a looking strike three during Fall League, he flipped off the TrackMan unit calling balls at Salt River Fields. ",4,113,0.105630228550548,-0.0489709193111452
"5","Corbin Carroll","5","19.5","ARI","A-","CF",5,"Carroll was electric during his showcase summer, displaying consistent, high-quality, all-fields contact and, at times, surprising power. From a skills and present baseball acumen standpoint, he was perhaps the most polished high schooler in the whole class, but his sleight, narrow build slid him back behind more traditional-looking athletes, like Bobby Witt and CJ Abrams. Though he doesn’t seem inclined to turn on pitches and lift them with power, Carroll loudly squashed concerns about lacking physicality by hitting lasers all summer, first in the AZL, then later in the Northwest League. In addition to having plus pure speed, which will enable him to stay in center field and perhaps be an impact defender there, Carroll is also a sly, instinctive baserunner who presses action. The two unknown variables at this point are a) how Carroll’s lilliputian frame withstands the rigors of a long, full season and b) if the Diamondbacks will try to tweak his swing or approach to produce more power, since his measurable exit velos indicate he has a chance to hit for some.",5,181,0.414333856074538,0.235627587109818
"6","Corbin Martin","6","24.2","ARI","MLB","RHP",4.5,"TrackMan-focused teams were all on Martin the summer after his sophomore year, as he was showing three data-friendly plus pitches and starter traits while he closed games on Cape Cod. Due to a deep veteran staff at Texas A&M and his own inconsistency, Martin only really pitched for part of one season as a starter while he was in college. A lot of teams thought he was just going to be a reliever. The Astros popped him in the second round of the 2017 draft, hoping to tease out the traits they saw on the Cape, and in the two years he was in the org, they did it. Martin was a top 100 prospect before his elbow blew out late last June.",6,124,0.183836200629668,0.118467478510572
"7","J.B. Bukauskas","7","23.4","ARI","AA","RHP",4.5,"Bukauskas took time off from pitching and got in the weight room as a high school underclassman, and emerged the following spring with four or five more ticks on his fastball. He then reclassified and was suddenly on track to graduate and be draft eligible a year early, meaning every decision-making amateur evaluator in the country had to get in quickly to see a pitcher who had all this new velocity but with whom scouts had very little history. Then Bukauskas asked not to be drafted (he was, but late, and didn’t sign) so he could go to North Carolina. After a middling freshman year, he was dominant as a sophomore and in the early part of his junior year before his stuff was depressed during North Carolina’s postseason games. That dip inflamed perviously held concerns that durability issues resulting from his size and a violent delivery might push Bukauskas to the bullpen. ",7,156,0.262009958012746,-0.110806999803523
"8","Blake Walston","8","18.7","ARI","A-","LHP",4.5,"Walston popped up pretty late, at a point in March when multiple clubs were sending in heat week after week to get some history. Some teams were out when they got multiple outings where he was mostly 84-89, while others are still hot on his trail. We saw him late when he was opening 90-93, cruising 88-91, and reaching back for 93 when he needed it. Walston was young for the class, ultra projectable, an above average athlete, and throws two versions of his curveball with the harder slurve flashing 65- or 70-grade when it’s on, while the slow one is a consistent 60. There’s feel for a changeup and command, and his fastball has life that enables it to compete for swings and misses in the zone even though it isn’t all that hard. Yet. He was up to 94 for Eric in the AZL after he signed. It will depend on how Walston develops physically, and how those gains counterbalance the coming full-season workload, but he has a chance to end up with three plus pitches and impact command. He’s as risky as any teenage pitching prospect, perhaps riskier when you consider those velocity fluctuations. One scout’s upward trajectory is another’s recency bias.",8,205,0.182713016343221,0.0254378437293895
"9","Wilderd Patino","9","18.6","ARI","R","CF",4.5,"Patino had originally agreed to a deal with Texas, but it was voided due to an elbow injury and he eventually landed with Arizona. Toolsy, physical, and built like Trevor Story, Patino has an exciting combination of speed and power, as well as promising ball/strike recognition. What he lacks at this point is barrel control and a bat path that enables the power. Those are important components and may not be easy to fix, especially the bat control issue. But Patino’s ball/strike and breaking ball recognition could help mitigate those issues, and his ceiling (a high OBP center fielder with power) is lofty if they’re overcome. ",9,110,0.487594804309846,-0.282621351357638
"10","Jon Duplantier","10","25.6","ARI","MLB","RHP",4.5,"Duplantier had been injury-free since college (where he dealt with shoulder problems) until 2018, when he had hamstring issues in the spring, and biceps tendinitis later in the summer. The lost innings resulted in an Arizona Fall League stint, during which Duplantier was one of the better pitching prospects in the league. Despite the biceps issue, his velocity was fine in the fall, when he sat 93-96 and showed three good, clearly demarcated secondary pitches. Then 2019 came. Dup’s stuff was not as crisp during the spring, and he was shuttled back and forth between Triple-A and the big leagues several times; he had a shoulder issue in the middle of the summer and his stuff was down again later in the year. There’s a chance his stuff bounces back and he pitches like the 50 FV we thought he’d be last year, and there’s a chance those two-ish healthy years sandwiched by all the injuries are, in fact, the outliers.",10,164,0.215878762071625,0.0111983778664209
